Zip,Store,Vendor,Month,Retail,Retail Diff,Sale,Sold,Volume
50047,2,24,10,16.94,5.64916666667,103.994166667,7.91666666667,833.333333333
50047,2,24,12,14.5866666667,4.89333333333,85.5606666667,12.9333333333,915.0
50048,1,11,1,13.348,4.452,127.564,8.8,850.0
50048,1,11,2,8.98166666667,2.995,132.2,16.0,875.0
50048,1,11,3,12.1783333333,4.06166666667,130.215,12.1666666667,708.333333333
50048,1,11,5,10.2,3.4,71.4,7.0,600.0
50048,1,11,6,11.1533333333,3.72,96.4733333333,8.66666666667,666.666666667
50048,1,11,7,14.78,4.93,177.36,12.0,750.0
50048,1,11,8,11.956,3.986,179.472,16.8,600.0
50048,1,11,10,11.88,3.96,142.56,12.0,750.0
50048,1,11,11,6.648,2.218,134.352,21.6,475.0
50048,1,11,12,12.74,4.24666666667,179.63,20.3333333333,541.666666667
50049,3,30,1,12.7153061224,4.24612244898,104.959183673,9.10204081633,826.530612245
50049,3,30,2,17.2844642857,5.77053571429,145.125714286,9.25,984.821428571
50049,3,30,3,12.5288311688,4.18155844156,88.7632467532,7.03896103896,1007.79220779
50049,3,30,4,12.199375,4.0703125,98.8659375,7.5625,898.4375
50049,3,30,5,14.1557142857,4.73,79.6091428571,6.14285714286,917.857142857
50049,3,30,6,15.9645238095,5.36428571429,108.742857143,7.5,980.952380952
50049,3,30,7,14.323030303,4.79090909091,98.9572727273,7.42424242424,980.303030303
50049,3,30,8,13.2296153846,4.41730769231,113.624615385,9.15384615385,1028.84615385
50049,3,30,9,15.3437837838,5.11621621622,90.8875675676,6.72972972973,886.486486486
50049,3,30,10,15.3632142857,5.14607142857,92.8721428571,6.75,1042.85714286
50049,3,30,11,13.665862069,4.55689655172,80.5589655172,7.1724137931,983.620689655
50049,3,30,12,13.7938235294,4.61411764706,89.9720588235,6.94117647059,855.147058824
50054,2,20,1,13.0244,4.3432,98.2576,8.76,1095.0
50054,2,20,2,12.1044,4.036,72.2568,6.64,839.0
50054,2,20,3,13.571,4.5345,87.4875,6.95,1075.0
50054,2,20,4,9.79153846154,3.26538461538,83.76,10.5384615385,807.692307692
50054,2,20,5,11.6133333333,3.87222222222,72.0688888889,6.44444444444,1250.0
50054,2,20,6,14.561,4.864,136.704,8.0,1212.5
50054,2,20,7,9.02388888889,3.00833333333,79.7938888889,9.22222222222,840.277777778
50054,2,20,8,9.738,3.248,45.826,5.6,725.0
50054,2,20,9,10.5454545455,3.51636363636,74.8118181818,7.72727272727,997.727272727
50054,2,20,10,10.5494736842,3.51789473684,62.8815789474,6.89473684211,728.947368421
50054,2,20,11,11.7433333333,3.91583333333,57.8008333333,5.0,947.916666667
50054,2,20,12,12.069,4.062,109.257,8.35,893.75
50056,1,13,1,17.7,5.9,220.5,15.0,1250.0
50056,1,13,2,11.555,3.935,98.58,9.0,1250.0
50056,1,13,3,10.84,3.615,177.12,15.0,1250.0
50056,1,13,4,14.37,4.79,118.62,9.0,1750.0
50056,1,13,6,17.7,5.9,106.2,6.0,1750.0
50056,1,13,7,11.992,4.0,118.86,9.6,900.0
50056,1,13,8,4.725,1.575,113.4,24.0,375.0
50056,1,13,9,10.17,3.3925,130.14,15.0,906.25
50056,1,13,10,15.0,5.0,180.0,12.0,750.0
50056,1,13,11,15.1466666667,5.05,138.56,14.0,958.333333333
50056,1,13,12,13.86,4.62,83.16,6.0,1750.0
50058,2,18,1,14.5046666667,4.83666666667,74.602,7.4,926.666666667
50058,2,18,2,16.2973333333,5.51133333333,119.948,8.33333333333,1058.33333333
50058,2,18,3,15.4680952381,5.15761904762,107.805238095,7.09523809524,976.19047619
50058,2,18,4,12.5127272727,4.23181818182,63.2790909091,6.72727272727,988.636363636
50058,2,18,5,20.116,6.708,105.67,5.6,1350.0
50058,2,18,6,19.272,6.424,126.234,5.8,1000.0
50058,2,18,7,11.2,3.75333333333,91.81,8.11111111111,1263.88888889
50058,2,18,8,16.8588888889,5.62222222222,91.03,7.0,1430.55555556
50058,2,18,9,9.162,3.056,59.428,8.6,515.0
50058,2,18,10,14.9844444444,4.99666666667,67.1411111111,6.77777777778,930.555555556
50058,2,18,11,18.64,6.215,75.73,4.0,1250.0
50058,2,18,12,16.473,5.493,92.849,8.2,1037.5
50060,1,21,1,15.7115,5.246,62.1085,4.5,1225.0
50060,1,21,2,18.1291666667,6.065,96.0475,6.91666666667,1270.83333333
50060,1,21,3,15.5441176471,5.23117647059,68.3541176471,5.88235294118,1220.58823529
50060,1,21,4,13.9311111111,4.67333333333,85.85,7.33333333333,1194.44444444
50060,1,21,5,12.1125,4.08,111.15,8.5,1250.0
50060,1,21,6,18.4975,6.1675,69.16875,4.75,1125.0
50060,1,21,7,12.22,4.09333333333,37.9455555556,4.0,972.222222222
50060,1,21,8,16.3890909091,5.46454545455,65.5063636364,5.09090909091,1204.54545455
50060,1,21,9,14.6609090909,4.88818181818,74.25,4.72727272727,1022.72727273
50060,1,21,10,17.396,5.8,62.614,6.2,1550.0
50060,1,21,11,17.584,5.86333333333,130.371333333,9.6,1016.66666667
50060,1,21,12,15.9155555556,5.30666666667,88.1766666667,5.77777777778,972.222222222
50061,1,2,1,10.77,3.59,129.24,12.0,1000.0
50061,1,2,3,9.68,3.23,232.32,24.0,750.0
50061,1,2,8,13.76,4.59,165.12,12.0,750.0
50069,2,18,1,12.1807142857,4.06214285714,81.0892857143,6.71428571429,989.285714286
50069,2,18,2,13.3983333333,4.50083333333,67.7533333333,5.91666666667,1175.0
50069,2,18,3,12.0308695652,4.01260869565,64.7469565217,5.4347826087,843.47826087
50069,2,18,4,7.7625,2.59,45.7575,14.5,481.25
50069,2,18,5,8.4775,2.8275,58.375,6.0,812.5
50069,2,18,6,18.544,6.228,89.2853333333,6.53333333333,1190.0
50069,2,18,7,13.6030769231,4.57461538462,73.8592307692,5.92307692308,1230.76923077
50069,2,18,8,12.3691666667,4.125,72.8775,6.33333333333,822.916666667
50069,2,18,9,9.38222222222,3.13,53.7033333333,6.11111111111,791.666666667
50069,2,18,10,10.0433333333,3.39333333333,37.4166666667,4.33333333333,680.555555556
50069,2,18,11,9.19,3.065,55.835,9.5,468.75
50069,2,18,12,16.0376923077,5.36615384615,126.026153846,10.4615384615,990.384615385
50071,1,7,1,11.0466666667,3.75666666667,132.56,12.0,1083.33333333
50071,1,7,2,11.8033333333,3.93666666667,173.04,16.0,750.0
50071,1,7,6,9.525,3.175,163.8,18.0,1062.5
50071,1,7,7,15.74,5.25,188.88,12.0,750.0
50071,1,7,10,7.85,2.62,94.2,12.0,750.0
50071,1,7,11,4.815,1.605,53.19,15.0,587.5
50072,1,9,1,22.5,7.5,67.5,3.0,750.0
50072,1,9,2,14.3866666667,4.79777777778,92.7033333333,7.33333333333,819.444444444
50072,1,9,3,11.262,3.756,97.092,9.0,800.0
50072,1,9,5,6.55,2.185,31.425,4.5,562.5
50072,1,9,6,17.0866666667,5.69666666667,153.58,11.0,1416.66666667
50072,1,9,7,5.25,1.75,15.75,3.0,375.0
50072,1,9,8,13.1275,4.3775,80.46,6.75,656.25
50072,1,9,9,10.965,3.6575,68.1825,9.0,562.5
50072,1,9,10,6.885,2.405,41.31,6.0,562.5
50072,1,9,11,27.0,9.0,162.0,6.0,1750.0
50072,1,9,12,7.45,2.484,68.85,7.8,650.0
50075,1,16,1,9.32333333333,3.11,71.68,7.0,625.0
50075,1,16,2,11.5125,3.895625,90.39,8.0,1007.8125
50075,1,16,3,11.7453333333,3.91666666667,83.8513333333,7.4,833.333333333
50075,1,16,4,12.51,4.57,75.06,6.0,1750.0
50075,1,16,5,9.94,3.315,55.7166666667,5.66666666667,725.0
50075,1,16,6,12.471,4.239,84.713,6.3,980.0
50075,1,16,7,14.9342857143,5.01571428571,124.455714286,8.0,782.142857143
50075,1,16,8,11.04,3.68222222222,70.1533333333,6.77777777778,872.222222222
50075,1,16,9,10.8466666667,3.61666666667,72.75,6.33333333333,1000.0
50075,1,16,10,13.942,4.648,80.392,5.2,850.0
50075,1,16,11,9.05125,3.01875,47.11875,5.0,578.125
50075,1,16,12,10.255,3.46166666667,87.0583333333,8.16666666667,812.5
50076,1,9,1,9.75,3.25,58.5,6.0,750.0
50076,1,9,2,10.7966666667,3.64166666667,108.76,14.0,791.666666667
50076,1,9,3,13.81,4.605,99.06,7.5,1250.0
50076,1,9,5,27.0,9.0,162.0,6.0,1750.0
50076,1,9,6,7.53,2.5125,133.68,21.0,718.75
50076,1,9,8,5.06,1.69,121.44,24.0,750.0
50076,1,9,9,10.375,3.46,184.2,18.0,1375.0
50107,1,12,1,15.93,5.3125,118.71,10.0,750.0
50107,1,12,2,16.4733333333,5.57666666667,223.526666667,14.3333333333,1083.33333333
50107,1,12,3,11.0875,3.69625,106.1325,10.75,828.125
50107,1,12,4,2.7,0.9,129.6,48.0,375.0
50107,1,12,5,6.075,2.025,56.025,14.5,562.5
50107,1,12,7,15.13,5.13,199.14,18.0,1083.33333333
50107,1,12,8,9.22,3.075,140.46,18.0,750.0
50107,1,12,9,21.0,7.0,84.0,4.0,375.0
50107,1,12,11,17.2275,5.745,174.68,11.5,1000.0
50109,1,16,1,11.04,3.68125,53.6275,5.5,781.25
50109,1,16,2,15.515,5.17375,78.80625,9.0,703.125
50109,1,16,3,8.824375,2.94375,85.16875,9.3125,690.625
50109,1,16,4,12.41,4.13666666667,73.06,6.0,750.0
50109,1,16,5,11.328,3.778,129.856,11.0,675.0
50109,1,16,6,12.66,4.22166666667,68.03,5.5,854.166666667
50109,1,16,7,9.352,3.12,70.4,8.2,800.0
50109,1,16,8,6.28,2.095,75.72,14.0,562.5
50109,1,16,9,12.6,4.2,66.6,7.0,958.333333333
50109,1,16,10,6.455,2.155,107.82,18.0,750.0
50109,1,16,11,8.29666666667,2.76666666667,50.05,7.0,750.0
50109,1,16,12,17.24,5.75,51.72,3.0,750.0
50111,6,42,1,14.341657754,4.78860962567,74.375828877,5.82352941176,937.165775401
50111,6,42,2,14.7069325153,4.92331288344,85.605398773,6.63190184049,953.527607362
50111,6,42,3,15.5739320388,5.20713592233,86.1602427184,6.3640776699,976.334951456
50111,6,42,4,17.7095945946,5.90918918919,80.0098648649,5.27027027027,952.364864865
50111,6,42,5,15.781031746,5.27865079365,80.2350793651,5.5873015873,977.182539683
50111,6,42,6,13.9137,4.6594,84.9946,7.34,893.5
50111,6,42,7,13.7436458333,4.58885416667,86.5057291667,6.65625,919.791666667
50111,6,42,8,15.6461261261,5.22792792793,87.2410810811,6.38738738739,1059.68468468
50111,6,42,9,14.2523664122,4.75244274809,92.9936641221,6.96946564885,982.442748092
50111,6,42,10,14.8195614035,4.95535087719,133.042807018,8.56140350877,865.570175439
50111,6,42,11,15.8858241758,5.29659340659,92.6032967033,6.41758241758,1102.74725275
50111,6,42,12,17.1852554745,5.74284671533,94.0838686131,5.6496350365,1057.84671533
50112,7,46,1,15.3322424242,5.11424242424,87.2229090909,6.3696969697,885.757575758
50112,7,46,2,15.1367914439,5.05374331551,77.632459893,5.56684491979,921.657754011
50112,7,46,3,14.5973015873,4.87338624339,66.8337037037,5.0,876.455026455
50112,7,46,4,13.8453719008,4.62429752066,75.1900826446,5.71900826446,909.917355372
50112,7,46,5,14.8606603774,4.97405660377,76.3518867925,5.77358490566,911.79245283
50112,7,46,6,14.3394736842,4.7825,68.4247368421,5.96052631579,807.565789474
50112,7,46,7,13.7763963964,4.59513513514,77.8233333333,5.85585585586,863.063063063
50112,7,46,8,14.0510638298,4.69670212766,82.0961702128,6.24468085106,901.329787234
50112,7,46,9,14.1608988764,4.72191011236,86.4411235955,6.48314606742,926.404494382
50112,7,46,10,14.0960784314,4.72098039216,90.6026470588,6.67647058824,913.235294118
50112,7,46,11,15.7850526316,5.26347368421,92.7891578947,6.22105263158,932.894736842
50112,7,46,12,14.2711258278,4.76377483444,80.157218543,6.23178807947,876.821192053
50115,2,19,1,11.2752941176,3.77941176471,61.0552941176,5.64705882353,992.647058824
50115,2,19,2,15.0635714286,5.04642857143,64.8742857143,4.42857142857,1035.71428571
50115,2,19,3,13.9211111111,4.66111111111,91.8244444444,6.33333333333,1159.72222222
50115,2,19,4,13.5733333333,4.52666666667,62.69,5.0,1500.0
50115,2,19,5,10.7985714286,3.62428571429,52.6442857143,4.71428571429,1178.57142857
